Code,Name,Manufacturer,Part Number,Product Group Description,Stock Unit Name,Cost Price,Sales Price (£),Sales Price (€),Margin,DMI Sales Price (€),Variance (DMI IE),DMI URL (IE),DentalSky Sales Price (£),Variance (DentalSky),DentalSky URL,Dontalia Sales Price (€),Variance (Dontalia),Dontalia URL,DMI Sales Price (£),Variance (DMI UK),DMI URL (UK),Henry Schein Sales Price (€),Variance (Henry Schein),Henry Schein URL
BJM006,UnoDent Gold Diamond Bur Football FG Fine 257/020 - Each,UnoDent,BJM006,ENDODONTICS & ACCESSORIES,Each,£1.39,£2.13,€2.47,34.7%,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,,,N/A,,
BJM440,UnoDent Gold Diamond Bur Flame FG Extra Fine 249/012 - Each,UnoDent,BJM440,ENDODONTICS & ACCESSORIES,Each,£1.39,£2.13,€2.47,34.7%,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,,,N/A,,
BLRG26,Perfection Plus Steel Bur Round RA No.6 (001/9106)-Pack25,Perfection Plus,001/9106,ENDODONTICS & ACCESSORIES,Pack (25),£7.95,£11.95,€13.86,33.5%,N/A,N/A,,£12.70,-5.9%,https://www.dentalsky.com/perfection-plus-steel-burs-round-no-6-018-25.html,N/A,N/A,,N/A,,,N/A,,
BOU001,Boutique Whitening Kit By Day 6% HP 4x3ml,Boutique Whitening,UBTK006,Boutique Whitening,Each,£15.25,£22.95,€26.62,33.6%,€28.58,-6.9%,https://www.dmi.ie/products/boutique-whitening-hydrogen-peroxide-syringe-kit-4-x-3ml-6-hp-btq-ubtk006.html?name=Boutique%20Whitening&type=simple&_gl=1*sv9e3g*_up*MQ..*_ga*MTk3NjE5NDU1LjE3NDQwMzkwNTI.*_ga_0T1NKWVSZ2*MTc0NDA0MzgzNi4yLjAuMTc0NDA0MzgzNi4wLjAuMA..,N/A,N/A,,N/A,,,£23.93,,https://www.dmi.co.uk/products/boutique-whitening-hydrogen-peroxide-syringe-kit-4-x-3ml-6-hp-btq-ubtk006.html?name=Boutique%20Whitening&type=simple&_gl=1*sv9e3g*_up*MQ..*_ga*MTk3NjE5NDU1LjE3NDQwMzkwNTI.*_ga_0T1NKWVSZ2*MTc0NDA0MzgzNi4yLjAuMTc0NDA0MzgzNi4wLjAuMA..,N/A,,
BOU002,Boutique Whitening Kit By Night 10% CP 4x3ml,Boutique Whitening,UBTK010,Boutique Whitening,Each,£15.25,£22.50,€26.10,32.2%,€28.58,-8.7%,https://www.dmi.ie/products/boutique-whitening-carbamide-peroxide-syringes-kit-4-x-3ml-10-cp-btq-ubtk010.html?name=Boutique%20Whitening&type=simple&_gl=1*sv9e3g*_up*MQ..*_ga*MTk3NjE5NDU1LjE3NDQwMzkwNTI.*_ga_0T1NKWVSZ2*MTc0NDA0MzgzNi4yLjAuMTc0NDA0MzgzNi4wLjAuMA..,N/A,N/A,,N/A,,,£23.93,,https://www.dmi.co.uk/products/boutique-whitening-carbamide-peroxide-syringes-kit-4-x-3ml-10-cp-btq-ubtk010.html?name=Boutique%20Whitening&type=simple&_gl=1*sv9e3g*_up*MQ..*_ga*MTk3NjE5NDU1LjE3NDQwMzkwNTI.*_ga_0T1NKWVSZ2*MTc0NDA0MzgzNi4yLjAuMTc0NDA0MzgzNi4wLjAuMA..,N/A,,
BOU003,Boutique Whitening Kit By Night 16% CP 4x3ml,Boutique Whitening,UBTK016,Boutique Whitening,Each,£15.25,£22.50,€26.10,32.2%,€28.58,-8.7%,https://www.dmi.ie/products/boutique-whitening-carbamide-peroxide-syringes-kit-4-x-3ml-16-cp-btq-ubtk016.html?name=Boutique%20Whitening&type=simple&_gl=1*hlt7md*_up*MQ..*_ga*MTk3NjE5NDU1LjE3NDQwMzkwNTI.*_ga_0T1NKWVSZ2*MTc0NDA0MzgzNi4yLjAuMTc0NDA0MzgzNi4wLjAuMA..,N/A,N/A,,N/A,,,£23.93,,https://www.dmi.co.uk/products/boutique-whitening-carbamide-peroxide-syringes-kit-4-x-3ml-16-cp-btq-ubtk016.html?name=Boutique%20Whitening&type=simple&_gl=1*hlt7md*_up*MQ..*_ga*MTk3NjE5NDU1LjE3NDQwMzkwNTI.*_ga_0T1NKWVSZ2*MTc0NDA0MzgzNi4yLjAuMTc0NDA0MzgzNi4wLjAuMA..,N/A,,
BOU007,Boutique Whitening Top Up Case By Day 6% HP 1x3ml,Boutique Whitening,UBPB061,Boutique Whitening,Each,£3.31,£5.00,€5.80,33.8%,€6.43,-9.8%,https://www.dmi.ie/products/boutique-whitening-hydrogen-peroxide-syringe-3ml-6-hp-btq-ubpb061.html?name=Boutique%20Whitening&type=simple&_gl=1*kxqw53*_up*MQ..*_ga*MTk3NjE5NDU1LjE3NDQwMzkwNTI.*_ga_0T1NKWVSZ2*MTc0NDA0MzgzNi4yLjAuMTc0NDA0MzgzNi4wLjAuMA..,N/A,N/A,,N/A,,,£5.38,,https://www.dmi.co.uk/products/boutique-whitening-hydrogen-peroxide-syringe-3ml-6-hp-btq-ubpb061.html?name=Boutique%20Whitening&type=simple&_gl=1*kxqw53*_up*MQ..*_ga*MTk3NjE5NDU1LjE3NDQwMzkwNTI.*_ga_0T1NKWVSZ2*MTc0NDA0MzgzNi4yLjAuMTc0NDA0MzgzNi4wLjAuMA..,N/A,,
BOU008,Boutique Whitening Top Up Case By Night 10% CP 1x3ml,Boutique Whitening,UBPB101,Boutique Whitening,Each,£3.31,£5.00,€5.80,33.8%,€6.43,-9.8%,https://www.dmi.ie/products/boutique-whitening-carbamide-peroxide-syringe-3ml-10-cp-btq-ubpb101.html?name=Boutique%20Whitening&type=simple&_gl=1*kxqw53*_up*MQ..*_ga*MTk3NjE5NDU1LjE3NDQwMzkwNTI.*_ga_0T1NKWVSZ2*MTc0NDA0MzgzNi4yLjAuMTc0NDA0MzgzNi4wLjAuMA..,N/A,N/A,,N/A,,,£5.38,,https://www.dmi.co.uk/products/boutique-whitening-carbamide-peroxide-syringe-3ml-10-cp-btq-ubpb101.html?name=Boutique%20Whitening&type=simple&_gl=1*kxqw53*_up*MQ..*_ga*MTk3NjE5NDU1LjE3NDQwMzkwNTI.*_ga_0T1NKWVSZ2*MTc0NDA0MzgzNi4yLjAuMTc0NDA0MzgzNi4wLjAuMA..,N/A,,
BOU009,Boutique Whitening Top Up Case By Night 16% CP 1x3ml,Boutique Whitening,UBPB161,Boutique Whitening,Each,£3.31,£5.00,€5.80,33.8%,€6.43,-9.8%,https://www.dmi.ie/products/boutique-whitening-carbamide-peroxide-syringe-3ml-16-cp-btq-ubpb161.html?name=Boutique%20Whitening&type=simple&_gl=1*9jt3xl*_up*MQ..*_ga*MTk3NjE5NDU1LjE3NDQwMzkwNTI.*_ga_0T1NKWVSZ2*MTc0NDA0MzgzNi4yLjAuMTc0NDA0MzgzNi4wLjAuMA..,N/A,N/A,,N/A,,,£5.38,,https://www.dmi.co.uk/products/boutique-whitening-carbamide-peroxide-syringe-3ml-16-cp-btq-ubpb161.html?name=Boutique%20Whitening&type=simple&_gl=1*9jt3xl*_up*MQ..*_ga*MTk3NjE5NDU1LjE3NDQwMzkwNTI.*_ga_0T1NKWVSZ2*MTc0NDA0MzgzNi4yLjAuMTc0NDA0MzgzNi4wLjAuMA..,N/A,,
BOU010,Boutique Whitening Top Up Case By Day 6% HP 2x3ml,Boutique Whitening,UBPB062,Boutique Whitening,Pack (2),£6.43,£10.00,€11.60,35.7%,N/A,N/A,,N/A,N/A,,N/A,,,N/A,,,N/A,,
BOU011,Boutique Whitening Top Up Case By Night 10% CP 2x3ml,Boutique Whitening,UBPB102,Boutique Whitening,Pack (2),£6.43,£10.00,€11.60,35.7%,N/A,N/A,,N/A,N/A,,N/A,,,N/A,,,N/A,,
BOU012,Boutique Whitening Top Up Case By Night 16% CP 2x3ml,Boutique Whitening,UBPB162,Boutique Whitening,Pack (2),£6.43,£10.00,€11.60,35.7%,N/A,N/A,,N/A,N/A,,N/A,,,N/A,,,N/A,,
BOU019,Boutique Whitening Top Up Case By Day 6% HP 3x3ml,Boutique Whitening,UBPB063,Boutique Whitening,Pack (3),£9.79,£15.00,€17.40,34.7%,N/A,N/A,,N/A,N/A,,N/A,,,N/A,,,N/A,,
