Our Code,Our Name,Site,Competitor URL,Competitor Product Name,Match Score,Manual Override
GSC305,UnoDent Surface Disinfectant Spray Economy Refill 5L,dmi_ie,https://www.dmi.ie/products/alcohol-surface-disinfectant-spray-economy-refill-5-litre-uno-gsc305.html,UnoDent Alcohol Surface Disinfectant Spray Economy Refill (5 Litres),1.00,
GSC305,UnoDent Surface Disinfectant Spray Economy Refill 5L,dmi_uk,https://www.dmi.co.uk/products/alcohol-surface-disinfectant-spray-economy-refill-5-litre-uno-gsc305.html,UnoDent Alcohol Surface Disinfectant Spray Economy Refill (5 Litres),1.00,
GSI032,Swann-Morton Surgical Blades Sterile No.15 (0205) - Box100,dentalsky,https://www.dentalsky.com/carbon-steel-sterile-blades-no-15-100.html,Swann-Morton Sterile Carbon Steel Surgical Scalpel Blades - No.15 (100),0.60,
IM039,Zhermack Hydrogum Refill 500g (C302025) - Each,dmi_ie,https://www.dmi.ie/products/zhermack-hydrogum-500g-zher-c302025.html,Zhermack Hydrogum Alginate Refill 500G,0.82,
IM039,Zhermack Hydrogum Refill 500g (C302025) - Each,dmi_uk,https://www.dmi.co.uk/products/zhermack-hydrogum-500g-zher-c302025.html,Zhermack Hydrogum Alginate Refill 500G,0.82,
IM119,Zhermack Hydrogum 5 Refill 453g Extra Fast  (C302070) - Each,dmi_ie,https://www.dmi.ie/products/zhermack-hydrogum-5-day-453g-zher-c302070.html,Zhermack Hydrogum 5 Day Alginate Refill 453G,0.65,
IM119,Zhermack Hydrogum 5 Refill 453g Extra Fast  (C302070) - Each,dmi_uk,https://www.dmi.co.uk/products/zhermack-hydrogum-5-day-453g-zher-c302070.html,Zhermack Hydrogum 5 Day Alginate Refill 453G,0.65,
IM195,UnoDent Alginate Fast Set Vanilla Refill 500g (IAA300) -Each,dmi_ie,https://www.dmi.ie/products/unodent-fast-alginate-refill-500g-vanilla-uno-iaa300.html,UnoDent Fast Set Alginate Refill 500g Vanilla,0.88,
IM246,UnoDent Alginate Fast Set Mint Refill 500g (IAA310) - Each,dmi_ie,https://www.dmi.ie/products/unodent-fast-alginate-refill-500g-mint-uno-iaa310.html,UnoDent Fast Set Alginate Refill 500g Mint,0.88,
IM246,UnoDent Alginate Fast Set Mint Refill 500g (IAA310) - Each,dmi_uk,https://www.dmi.co.uk/products/unodent-fast-alginate-refill-500g-mint-uno-iaa310.html,UnoDent Fast Set Alginate Refill 500g Mint,0.88,
MED006,#Septodont Xylonor Gel 15g - Each,dmi_uk,https://www.dmi.co.uk/products/septodont-xylonor-gel-roi-15g-sept-xylon03.html,Septodont Xylonor Gel 15g (ROI Only),0.65,
MED008,#Septodont Lignospan 2% Special 2.2ml - Box50,dmi_uk,https://www.dmi.co.uk/products/septodont-lignospan-2-2-2ml-roi-50pk-sept-ligno02.html,Septodont Lignospan Special 2% 2.2ml X 50 Latex Free - ROI Customers Only,0.62,
