Code,Name,Manufacturer,Part Number,Product Group Description,Stock Unit Name,Cost Price,Sales Price (£),Sales Price (€),Margin,DMI Sales Price (€),Variance (DMI IE),DMI URL (IE),DentalSky Sales Price (£),Variance (DentalSky),DentalSky URL,Dontalia Sales Price (€),Variance (Dontalia),Dontalia URL,DMI Sales Price (£),Variance (DMI UK),DMI URL (UK),Henry Schein Sales Price (€),Variance (Henry Schein),Henry Schein URL,DMI IE Notes,DMI UK Notes,DentalSky Notes,Dontalia Notes,Henry Schein Notes
FAC191A,Septodont Alveogyl Haemostatic Surgical Dressing Paste 10g,Septodont,ALVEO02, FILLING MATERIALS ANTERIOR,Each,£24.73,£52.01,€60.33,52.5%,€55.62,8.5%,,£34.65,50.1%,,€34.95,,https://www.dontalia.com/alveogyl.html,£46.57,,https://www.dmi.co.uk/products/septodont-alveogyl-jar-10g-sept-alveo02.html?_gl=1*14daqob*_up*MQ..*_ga*NDg0MTE3MTgyLjE3NDQ3Mjk2MDk.*_ga_0T1NKWVSZ2*MTc0NDcyOTYwOS4xLjEuMTc0NDczMTU2Ny4wLjAuMA..,N/A,,,,,,,Not listed on competitor
FAC198,Perfection Plus Needle Etch Tips (PP011/0080) - Pack25,Perfection Plus,PP011/0080, FILLING MATERIALS ANTERIOR,Pack (25),£1.80,£5.66,€6.57,68.2%,€5.39,21.8%,https://www.dmi.ie/products/perfection-plus-needle-etch-tips-25pk-perf-0110080.html?_gl=1*1azps2q*_up*MQ..*_ga*NTkyOTAzNjguMTc0NDE3MTExMg..*_ga_0T1NKWVSZ2*MTc0NDE3NzQyMS4zLjEuMTc0NDE3NzkwMi4wLjAuMA..,£6.25,-9.4%,https://www.dentalsky.com/perfection-plus-etch-tips-25.html,N/A,N/A,,£4.51,,https://www.dmi.co.uk/products/perfection-plus-needle-etch-tips-25pk-perf-0110080.html?_gl=1*1azps2q*_up*MQ..*_ga*NTkyOTAzNjguMTc0NDE3MTExMg..*_ga_0T1NKWVSZ2*MTc0NDE3NzQyMS4zLjEuMTc0NDE3NzkwMi4wLjAuMA..,N/A,,,,,,Not listed on competitor,Not listed on competitor
FAC290,"Perfection Plus Rubber Dam Non Latex Blue Medium 6""x6"" - 20",Perfection Plus Ltd,004/0046, FILLING MATERIALS ANTERIOR,Box (20),£9.40,£13.40,€15.54,29.9%,€19.36,-19.7%,https://www.dmi.ie/products/perfection-plus-rubber-dam-blue-latex-free-20pk-medium-perf-0040046.html?_gl=1*1hcacnk*_up*MQ..*_ga*NTkyOTAzNjguMTc0NDE3MTExMg..*_ga_0T1NKWVSZ2*MTc0NDE3NzQyMS4zLjEuMTc0NDE3NzUwOS4wLjAuMA..,N/A,N/A,,N/A,N/A,,£16.21,,https://www.dmi.co.uk/products/perfection-plus-rubber-dam-blue-latex-free-20pk-medium-perf-0040046.html?_gl=1*1hcacnk*_up*MQ..*_ga*NTkyOTAzNjguMTc0NDE3MTExMg..*_ga_0T1NKWVSZ2*MTc0NDE3NzQyMS4zLjEuMTc0NDE3NzUwOS4wLjAuMA..,N/A,,,,,Not listed on competitor,Not listed on competitor,Not listed on competitor
FAC293,"UnoDent Rubber Dam Non Latex Light Blue Medium 6""x6""(EWS025)",UnoDent,EWS025, FILLING MATERIALS ANTERIOR,Box (20),£7.88,£16.53,€19.17,52.3%,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,,,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor
FAC294,Bossklein Etchant Gel Jumbo Etching Kit 50ml (BOS9904) -Each,Bossklein,BOS9904, FILLING MATERIALS ANTERIOR,Each,£9.71,£14.26,€16.54,31.9%,N/A,N/A,,N/A,N/A,,N/A,,,N/A,,,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor
FAC374,"UnoDent Rubber Dam Non Latex Light Blue Heavy 6""x6"" (EWS045)",UnoDent,EWS045, FILLING MATERIALS ANTERIOR,Box (20),£8.68,£28.43,€32.98,69.5%,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,,,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor
FAC375,Perfection Plus AppliPlus Regular Microbrush PP011/1112,Perfection Plus,PP011/1112, FILLING MATERIALS ANTERIOR,Pack (400),£5.60,£9.42,€10.93,40.6%,€12.73,-14.2%,https://www.dmi.ie/products/perfection-plus-appliplus-applicators-x-400-regular-perf-0111112.html?_gl=1*1qwcwez*_up*MQ..*_ga*NTkyOTAzNjguMTc0NDE3MTExMg..*_ga_0T1NKWVSZ2*MTc0NDE3NzQyMS4zLjEuMTc0NDE3ODAzMy4wLjAuMA..,£11.55,-18.4%,https://www.dentalsky.com/appliplus-regular-400.html,N/A,N/A,,£10.66,,https://www.dmi.co.uk/products/perfection-plus-appliplus-applicators-x-400-regular-perf-0111112.html?_gl=1*1qwcwez*_up*MQ..*_ga*NTkyOTAzNjguMTc0NDE3MTExMg..*_ga_0T1NKWVSZ2*MTc0NDE3NzQyMS4zLjEuMTc0NDE3ODAzMy4wLjAuMA..,N/A,,,,,,Not listed on competitor,Not listed on competitor
FAC401,"Perfection Plus Rubber Dam Non Latex Blue Heavy 6""x6"" - 20",Perfection Plus,004/0047, FILLING MATERIALS ANTERIOR,Box (20),£10.50,£15.10,€17.52,30.5%,€20.97,-16.5%,https://www.dmi.ie/products/perfection-plus-rubber-dam-blue-latex-free-20pk-heavy-perf-0040047.html?_gl=1*1bnfdfm*_up*MQ..*_ga*NTkyOTAzNjguMTc0NDE3MTExMg..*_ga_0T1NKWVSZ2*MTc0NDE3NzQyMS4zLjEuMTc0NDE3Nzk0MS4wLjAuMA..,N/A,N/A,,N/A,N/A,,£17.56,,https://www.dmi.co.uk/products/perfection-plus-rubber-dam-blue-latex-free-20pk-heavy-perf-0040047.html?_gl=1*1bnfdfm*_up*MQ..*_ga*NTkyOTAzNjguMTc0NDE3MTExMg..*_ga_0T1NKWVSZ2*MTc0NDE3NzQyMS4zLjEuMTc0NDE3Nzk0MS4wLjAuMA..,N/A,,,,,Not listed on competitor,Not listed on competitor,Not listed on competitor
FBX200,UnoDent Micro Applicator Brush Super Fine White - Pack400,UnoDent,FBX200, FILLING MATERIALS ANTERIOR,Pack (400),£2.46,£5.31,€6.16,53.7%,€69.24,-91.1%,https://www.dmi.ie/products/micro-brush-refill-4-x-100-pack-super-fine-white-micr-msf400.html,N/A,N/A,,N/A,N/A,,£58.08,-90.9%,https://www.dmi.co.uk/products/micro-brush-refill-4-x-100-pack-super-fine-white-micr-msf400.html,N/A,,,,,Not listed on competitor,Not listed on competitor,Not listed on competitor
FBX203,UnoDent Micro Applicator Brush Regular Blue - Pack400,UnoDent,FBX203, FILLING MATERIALS ANTERIOR,Pack (400),£2.52,£15.22,€17.66,83.5%,€76.49,-76.9%,https://www.dmi.ie/products/microbrush-4-x-100pk-assorted-regular-2mm-micr-pr400.html,N/A,N/A,,N/A,N/A,,£64.92,-76.6%,https://www.dmi.co.uk/products/microbrush-4-x-100pk-assorted-regular-2mm-micr-pr400.html,N/A,,,,,Not listed on competitor,Not listed on competitor,Not listed on competitor
FMA1085,Kulzer Charisma ABC PLT A3 20x0.2g (66064792) - Pack20,Kulzer,66064792, FILLING MATERIALS ANTERIOR,Pack (20),£14.50,£22.77,€26.41,36.3%,€24.78,6.6%,https://www.dmi.ie/products/kulzer-charisma-abc-plt-20pk-a3-hera-66064792.html?name=Charisma%20ABC%20&type=simple&_gl=1*1w73ebq*_up*MQ..*_ga*MTcyNjk4NzM4NC4xNzQ0MTI3MTIz*_ga_0T1NKWVSZ2*MTc0NDEyNzEyMi4xLjAuMTc0NDEyNzEyMi4wLjAuMA..,£26.25,-13.3%,https://www.dentalsky.com/charisma-abc-20-x-0-2g-plts-a3.html,€44.86,,https://www.dontalia.com/charismar-abc-compules-refill.html,£20.75,,https://www.dmi.co.uk/products/kulzer-charisma-abc-plt-20pk-a3-hera-66064792.html?name=Charisma%20ABC%20&type=simple&_gl=1*1w73ebq*_up*MQ..*_ga*MTcyNjk4NzM4NC4xNzQ0MTI3MTIz*_ga_0T1NKWVSZ2*MTc0NDEyNzEyMi4xLjAuMTc0NDEyNzEyMi4wLjAuMA..,N/A,,,,,,,Not listed on competitor
FMA1377,UnoDent Luminos UN Syringe A2 4g (FLU811) - Each,UnoDent,FLU811, FILLING MATERIALS ANTERIOR,Each,£6.40,£16.88,€19.58,62.1%,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,,,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor
FMA1384,UnoDent Luminos UN Syringe BW 4g (FLU818) - Each,UnoDent,FLU818, FILLING MATERIALS ANTERIOR,Each,£6.40,£16.88,€19.58,62.1%,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,,,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor
