Code,Name,Manufacturer,Part Number,Product Group Description,Stock Unit Name,Cost Price,Sales Price (£),Sales Price (€),Margin,DMI Sales Price (€),Variance (DMI IE),DMI URL (IE),DMI IE Notes,DMI IE Product,DMI IE Pack Flag,DMI IE Adjusted Variance,DMI Sales Price (£),Variance (DMI UK),DMI URL (UK),DMI UK Notes,DMI UK Product,DMI UK Pack Flag,DMI UK Adjusted Variance,DentalSky Sales Price (£),Variance (DentalSky),DentalSky URL,DentalSky Notes,DentalSky Product,DentalSky Pack Flag,DentalSky Adjusted Variance,Dontalia Sales Price (€),Variance (Dontalia),Dontalia URL,Dontalia Notes,Dontalia Product,Dontalia Pack Flag,Dontalia Adjusted Variance,Henry Schein Sales Price (€),Variance (Henry Schein),Henry Schein URL,Henry Schein Notes,Henry Schein Product,Henry Schein Pack Flag,Henry Schein Adjusted Variance
CSP149A,Schulke Mikrozid Alcohol Free Wipes Refill (70003112) -Pk200,Schulke,70003112,"CLEANING, STERILIZING PRODUCTS",Pack (200),£6.43,£11.52,€13.36,44.2%,€14,-4.5%,https://www.dmi.ie/products/schulke-mikrozid-wipes-jumbo-alcohol-free-refill-200pk-schu-70001449.html?name=Schulke&type=simple&_gl=1*1g5wgw1*_up*MQ..*_ga*MTEwMDIwODM2OC4xNzQ0MTQxNTkw*_ga_0T1NKWVSZ2*MTc0NDE0MTU5MC4xLjEuMTc0NDE0MTY1Ni4wLjAuMA..,,,,,£11.72,,https://www.dmi.co.uk/products/schulke-mikrozid-wipes-jumbo-alcohol-free-refill-200pk-schu-70001449.html?name=Schulke&type=simple&_gl=1*1g5wgw1*_up*MQ..*_ga*MTEwMDIwODM2OC4xNzQ0MTQxNTkw*_ga_0T1NKWVSZ2*MTc0NDE0MTU5MC4xLjEuMTc0NDE0MTY1Ni4wLjAuMA..,,,,,£9.80,17.6%,https://www.dentalsky.com/mikrozid-alcohol-free-wipes-tub-200.html,,,,,N/A,N/A,,Not listed on competitor,,,,,,,,,,
CSP161,Bossklein Hard Surface Spray Lemon 500ml (BOS9782) - Each,Bossklein,BOS9782,"CLEANING, STERILIZING PRODUCTS",Each,£2.43,£3.47,€4.03,30.0%,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,,,,,,,
CSP165,Bossklein Max V-Wipes Lemon Refill (BOS9784) - Pack200,Bossklein,BOS9784,"CLEANING, STERILIZING PRODUCTS",Pack (200),£5.00,£7.14,€8.28,30.0%,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,,,,,,,
CSP167,Bossklein Daily Aspirator Cleaner & Disinfectant 5L BOS2488,Bossklein,BOS2488,"CLEANING, STERILIZING PRODUCTS",Each,£18.00,£27.93,€32.40,35.6%,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,£44.34,-37.0%,https://www.dentalsky.com/bossklein-dailyasp-aspirator-cleaner-and-disinfectant-5-litre-refill.html,,Bossklein DAILYasp Aspirator Cleaner and Disinfectant - 5 Litre Refill,UNKNOWN,,N/A,,,Not listed on competitor,,,,,,,,,,
CSP219,Clinell Universal Sanitising Wipe (CW200) - Pack200,Clinell,CW200,"CLEANING, STERILIZING PRODUCTS",Pack (200),£3.86,£6.41,€7.44,39.8%,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,,,,,,,
CSP230,UnoDent Disinfectant Surface Wipes Refill Jumbo (CAW585)-200,UnoDent,CAW585,"CLEANING, STERILIZING PRODUCTS",Pack (200),£4.32,£5.81,€6.74,25.6%,€8.25,-18.3%,https://www.dmi.ie/products/jumbo-alcohol-surface-disinfectant-wipes-x-200-refill-uno-caw585.html,,UnoDent Jumbo Alcohol Surface Disinfectant Wipes (Refill Pk 200),MATCH,,£7.10,-18.2%,https://www.dmi.co.uk/products/jumbo-alcohol-surface-disinfectant-wipes-x-200-refill-uno-caw585.html,,UnoDent Jumbo Alcohol Surface Disinfectant Wipes (Refill Pk 200),MATCH,,N/A,N/A,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,,,,,,,
CSP248,UnoDent Enzymatic Ultrasonic Concentrate 5Litre (GUC005),UnoDent,GUC005,"CLEANING, STERILIZING PRODUCTS",Each,£10.45,£35.65,€41.35,70.7%,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,,,,,,,
CSP272,UnoDent UnoWipes Refill (CAW566) - Pack200,UnoDent,CAW566,"CLEANING, STERILIZING PRODUCTS",Pack (200),£3.26,£5.20,€6.03,37.3%,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,,,,,,,
CSP327,Bossklein V-WIPE ZERO Refill Alcohol Free Large (BOS2001),Bossklein,BOS2001,"CLEANING, STERILIZING PRODUCTS",Each,£3.75,£5.36,€6.22,30.0%,€7.95,-21.8%,https://www.dmi.ie/products/v-wipe-zero-jumbo-alcohol-free-surface-disinfectant-wipe-x-200-refill-bos-2001.html,,Bossklein V-Wipe Zero Jumbo Alcohol Free Surface Disinfectant Wipe Refill Pack 200,UNKNOWN,,£6.75,-20.6%,https://www.dmi.co.uk/products/v-wipe-zero-jumbo-alcohol-free-surface-disinfectant-wipe-x-200-refill-bos-2001.html,,Bossklein V-Wipe Zero Jumbo Alcohol Free Surface Disinfectant Wipe Refill Pack 200,UNKNOWN,,£5.45,-1.7%,https://www.dentalsky.com/bossklein-v-wipe-zero-refill-apple-200.html,,,,,N/A,,,Not listed on competitor,,,,,,,,,,
CSP340,Bossklein IDactiv Instrument Disinfectant 2.5L (BOS9843),Bossklein,BOS9843,"CLEANING, STERILIZING PRODUCTS",Each,£15.70,£22.43,€26.02,30.0%,€33.50,-22.3%,https://www.dmi.ie/products/idactive-instrument-disinfectant-2-5-litre-bos-9843.html,,Bossklein IDactiv Instrument Disinfectant 2.5 Litre,UNKNOWN,,£28.40,-21.0%,https://www.dmi.co.uk/products/idactive-instrument-disinfectant-2-5-litre-bos-9843.html,,Bossklein IDactiv Instrument Disinfectant 2.5 Litre,UNKNOWN,,£37.74,-40.6%,https://www.dentalsky.com/bossklein-idactiv-instrument-disinfectant-2-5-litre-with-dosing-cap.html,,Bossklein IDactiv Instrument Disinfectant - 2.5 Litre With Dosing Cap,UNKNOWN,,N/A,,,Not listed on competitor,,,,,,,,,,
